"Dataset_ID","R_Time","D1_node","Query_ID","SOLR_Index_Type","Run_ID","Ontology_Set_ID"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/176/196271",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/176/233060",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.253.36588",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.253.37256",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.253.37938",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.176.41026",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.176.40805",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.281.53108",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.253.31166",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sgs/530/1",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.267.72147",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.262.71881",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.264.72145",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/264/161080",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/267/196138",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/262/119853",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/270/1",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sgs.170.12",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sgs/170/17",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/129/220364",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.129.68833",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.129.67096",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.129.68336",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.129.67372",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.129.66984",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.129.68234",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/129/256926",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.266.72146",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/266/180462",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.278.52339",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.278.29116",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/278/206950",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/278/178750",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/278/244467",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"doi:10.6073/AA/knb-lter-sev.12999.1",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sgs/130/18",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/129/191060",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.129.66514",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.168.93066",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.168.92076",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/168/192537",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sgs/541/1",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sgs/540/1",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.168.73413",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sgs/531/1",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sgs.165.12",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"doi:10.6073/AA/knb-lter-sev.157.1",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/271/195007",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"doi:10.5063/AA/sromanello.9.2",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/137/206585",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/137/161857",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.137.44805",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.137.56304",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.137.55654",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.137.57143",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"doi:10.6073/AA/knb-lter-sev.18299.1",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/186/168652",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.186.53168",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.186.52353",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/157/285482",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/157/335920",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.157.127879",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.157.104399",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.157.127320",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.157.115248",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.157.128187",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-cdr/386/2",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-cdr/526/2",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-cdr/405/2",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.157.95226",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.157.95532",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.157.90409",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sgs.165.6",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sgs.165.9",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"doi:10.6073/AA/knb-lter-sgs.165.1",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
